date,bucket_start_min,bucket_hhmm,departures,picking_colli,picking_volume,staging_volume,gate_over,picking_colli_over,picking_volume_over,total_picking_over,staging_over,bucket_penalty,pressure_mode
2026-01-01,240,04:00,1,32.0,5.550000000000001,5.550000000000001,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,255,04:15,5,143.0,22.25,22.25,0,93.0,0.0,93.0,0.0,744.0,picking
2026-01-01,270,04:30,4,133.0,19.769999999999996,19.769999999999996,0,83.0,0.0,83.0,0.0,664.0,picking
2026-01-01,285,04:45,7,136.0,26.74,26.74,0,86.0,1.7399999999999984,87.74,0.0,708.88,picking
2026-01-01,300,05:00,6,216.0,27.41,27.41,0,166.0,2.41,168.41,0.0,1356.92,picking
2026-01-01,315,05:15,6,169.0,25.870000000000005,25.870000000000005,0,119.0,0.8700000000000045,119.87,0.0,962.44,picking
2026-01-01,330,05:30,7,204.0,34.12,34.12,0,154.0,9.119999999999997,163.12,0.0,1341.44,picking
2026-01-01,345,05:45,9,249.0,34.1,34.1,2,199.0,9.100000000000001,208.1,0.0,2001.2,picking
2026-01-01,360,06:00,18,461.0,68.28999999999999,68.28999999999999,11,411.0,43.28999999999999,454.28999999999996,0.0,5457.48,picking
2026-01-01,375,06:15,7,178.0,26.660000000000004,26.660000000000004,0,128.0,1.6600000000000037,129.66,0.0,1043.92,picking
2026-01-01,390,06:30,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,405,06:45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,420,07:00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,435,07:15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,450,07:30,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,465,07:45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,480,08:00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,495,08:15,2,42.0,9.0,9.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,510,08:30,2,32.0,6.82,6.82,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,525,08:45,2,33.0,11.18,11.18,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,540,09:00,1,21.0,4.24,4.24,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,555,09:15,2,64.0,9.64,9.64,0,14.0,0.0,14.0,0.0,112.0,picking
2026-01-01,570,09:30,3,61.0,10.309999999999999,10.309999999999999,0,11.0,0.0,11.0,0.0,88.0,picking
2026-01-01,585,09:45,5,104.0,26.020000000000003,26.020000000000003,0,54.0,1.0200000000000031,55.02,0.0,444.24,picking
2026-01-01,600,10:00,1,34.0,4.4399999999999995,4.4399999999999995,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,615,10:15,2,49.0,9.899999999999999,9.899999999999999,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,630,10:30,3,70.0,13.89,13.89,0,20.0,0.0,20.0,0.0,160.0,picking
2026-01-01,645,10:45,6,83.0,21.54,21.54,0,33.0,0.0,33.0,0.0,264.0,picking
2026-01-01,660,11:00,6,112.0,19.29,19.29,0,62.0,0.0,62.0,0.0,496.0,picking
2026-01-01,675,11:15,5,126.0,22.13,22.13,0,76.0,0.0,76.0,0.0,608.0,picking
2026-01-01,690,11:30,1,16.0,3.9400000000000004,3.9400000000000004,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,705,11:45,1,41.0,4.28,4.28,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,720,12:00,2,44.0,8.98,8.98,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,735,12:15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,750,12:30,2,36.0,6.029999999999999,6.029999999999999,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,765,12:45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,780,13:00,3,46.0,9.7,9.7,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,795,13:15,1,19.0,2.1399999999999997,2.1399999999999997,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,810,13:30,1,18.0,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,825,13:45,2,35.0,4.859999999999999,4.859999999999999,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-01,840,14:00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,240,04:00,2,58.0,10.25,10.25,0,8.0,0.0,8.0,0.0,64.0,picking
2026-01-02,255,04:15,4,72.0,11.840000000000002,11.840000000000002,0,22.0,0.0,22.0,0.0,176.0,picking
2026-01-02,270,04:30,7,151.0,25.35,25.35,0,101.0,0.3500000000000014,101.35,0.0,812.2,picking
2026-01-02,285,04:45,7,144.0,19.33,19.33,0,94.0,0.0,94.0,0.0,752.0,picking
2026-01-02,300,05:00,6,168.0,25.65,25.65,0,118.0,0.6499999999999986,118.65,0.0,951.8,picking
2026-01-02,315,05:15,6,126.0,19.16,19.16,0,76.0,0.0,76.0,0.0,608.0,picking
2026-01-02,330,05:30,5,149.0,22.119999999999997,22.119999999999997,0,99.0,0.0,99.0,0.0,792.0,picking
2026-01-02,345,05:45,3,54.0,10.520000000000001,10.520000000000001,0,4.0,0.0,4.0,0.0,32.0,picking
2026-01-02,360,06:00,3,74.0,7.640000000000001,7.640000000000001,0,24.0,0.0,24.0,0.0,192.0,picking
2026-01-02,375,06:15,4,58.0,10.32,10.32,0,8.0,0.0,8.0,0.0,64.0,picking
2026-01-02,390,06:30,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,405,06:45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,420,07:00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,435,07:15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,450,07:30,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,465,07:45,2,94.0,10.49,10.49,0,44.0,0.0,44.0,0.0,352.0,picking
2026-01-02,480,08:00,3,77.0,11.709999999999999,11.709999999999999,0,27.0,0.0,27.0,0.0,216.0,picking
2026-01-02,495,08:15,5,165.0,23.349999999999998,23.349999999999998,0,115.0,0.0,115.0,0.0,920.0,picking
2026-01-02,510,08:30,4,99.0,21.07,21.07,0,49.0,0.0,49.0,0.0,392.0,picking
2026-01-02,525,08:45,4,75.0,12.969999999999999,12.969999999999999,0,25.0,0.0,25.0,0.0,200.0,picking
2026-01-02,540,09:00,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,555,09:15,6,127.0,20.18,20.18,0,77.0,0.0,77.0,0.0,616.0,picking
2026-01-02,570,09:30,1,14.0,3.7299999999999995,3.7299999999999995,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,585,09:45,2,45.0,9.64,9.64,0,0.0,0.0,0.0,0.0,0.0,picking
2026-01-02,600,10:00,7,170.0,30.370000000000005,30.370000000000005,0,120.0,5.3700000000000045,125.37,0.0,1024.44,picking
2026-01-02,615,10:15,7,139.0,24.660000000000004,24.660000000000004,0,89.0,0.0,89.0,0.0,712.0,picking
2026-01-02,630,10:30,6,164.0,30.890000000000008,30.890000000000008,0,114.0,5.890000000000008,119.89000000000001,0.0,982.6800000000001,picking
